Institute ID,Name,City,State,Score,Rank,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),Category
IR-C-C-25376,Andhra Loyola CollegeMore Details,Vijayawada,Andhra Pradesh,57.64,36,58.61,45.58,71.47,54.75,39.99,College
IR-C-C-6420,Jesus & Mary CollegeMore Details,New Delhi,Delhi,57.29,37,67.32,2.0,85.21,63.34,24.33,College
IR-C-C-43946,Women`s Christian CollegeMore Details,Chennai,Tamil Nadu,56.78,38,66.8,16.83,82.14,43.96,26.02,College
IR-C-C-35825,Bishop Heber CollegeMore Details,Tiruchirappalli,Tamil Nadu,56.65,39,57.66,45.92,64.6,50.4,55.09,College
IR-C-C-43705,Government College for WomenMore Details,Thiruvananthapuram,Kerala,56.56,40,73.46,8.9,76.61,57.05,10.04,College
IR-C-N-6,Queen Mary`s CollegeMore Details,Chennai,Tamil Nadu,56.28,41,66.27,17.78,78.59,49.04,25.47,College
IR-C-I-1385,Fergusson CollegeMore Details,Pune,Maharashtra,56.04,42,53.27,15.53,83.04,40.48,75.91,College
IR-C-C-6365,Indraprastha College for WomenMore Details,Delhi,Delhi,55.9,43,70.36,1.54,72.26,68.47,26.02,College
IR-C-C-6417,Kamala Nehru CollegeMore Details,Delhi,Delhi,55.9,43,72.85,3.32,75.21,61.38,13.17,College
IR-C-C-6412,Maharaja Agrasen CollegeMore Details,Delhi,Delhi,55.88,45,76.76,12.28,66.88,64.09,2.02,College
IR-C-C-43902,Ethiraj College for WomenMore Details,Chennai,Tamil Nadu,55.76,46,63.78,8.82,75.91,53.98,45.54,College
IR-C-C-11582,St. Teresa's CollegeMore Details,Ernakulam,Kerala,55.6,47,70.34,9.96,75.43,54.39,16.77,College
IR-C-C-43767,Mar Ivanios CollegeMore Details,Thiruvananthapuram,Kerala,55.51,48,60.46,46.39,69.31,55.03,15.37,College
IR-C-C-29454,IC College of Home ScienceMore Details,Hisar,Haryana,54.93,49,77.11,0.21,75.24,50.52,2.02,College
IR-C-C-41173,St. Xavier's CollegeMore Details,Palayamkottai,Tamil Nadu,54.91,50,68.3,41.7,57.33,53.35,16.77,College
IR-C-C-6366,Shivaji CollegeMore Details,Delhi,Delhi,54.76,51,75.15,13.72,66.82,57.45,2.02,College
IR-C-C-36578,Lady Doak CollegeMore Details,Madurai,Tamil Nadu,54.67,52,70.13,22.94,63.13,44.77,29.22,College
IR-C-C-36502,Virudhunagar Hindu Nadars' Senthikumara Nadar CollegeMore Details,Virudhunagar,Tamil Nadu,54.63,53,60.75,58.72,61.02,48.02,14.65,College
IR-C-C-35832,Jamal Mohamed CollegeMore Details,Tiruchirappalli,Tamil Nadu,54.53,54,67.05,34.66,62.55,51.86,16.77,College
IR-C-C-11708,Sacred Heart CollegeMore Details,Ernakulam,Kerala,54.52,55,69.89,13.89,73.08,50.52,11.64,College
IR-C-C-6502,Kanchi Mamunivar Centre for Post Graduate StudiesMore Details,Puducherry,Pondicherry,54.38,56,72.76,27.73,67.7,41.84,0.0,College
IR-C-C-6411,Shaheed Sukhdev College of Business StudiesMore Details,New Delhi,Delhi,54.11,57,65.37,3.38,84.86,58.47,3.94,College
IR-C-C-36579,Ayya Nadar Janaki Ammal CollegeMore Details,Sivakasi,Tamil Nadu,53.94,58,61.28,25.81,67.91,47.78,37.96,College
IR-C-C-5855,St. Xavier's CollegeMore Details,Ahmedabad,Gujarat,53.93,59,52.83,54.69,69.6,54.46,17.46,College
IR-C-I-1323,St. Joseph's CollegeMore Details,Kozhikode,Kerala,53.82,60,70.62,9.15,71.52,53.15,10.04,College
IR-C-C-6431,Ramanujan CollegeMore Details,New Delhi,Delhi,53.73,61,63.47,1.22,88.4,57.57,2.99,College
IR-C-C-33688,College of Social Work Nirmala NiketanMore Details,Mumbai,Maharashtra,53.66,62,67.76,0.47,83.28,52.68,3.94,College
IR-C-C-8169,St. Thomas CollegeMore Details,Thrissur,Kerala,53.42,63,67.18,13.95,73.07,55.24,6.67,College
IR-C-C-43931,Stella Maris CollegeMore Details,Chennai,Tamil Nadu,53.36,64,56.53,17.06,71.4,56.18,47.24,College
IR-C-I-1293,Sri Ramakrishna Mission Vidyalaya College of Arts and ScienceMore Details,Coimbatore,Tamil Nadu,53.32,65,59.1,82.08,59.55,10.23,14.65,College
IR-C-C-35787,Holy Cross CollegeMore Details,Tiruchirappalli,Tamil Nadu,53.27,66,63.03,8.81,70.97,57.32,32.66,College
IR-C-C-6426,Shaheed Rajguru College of Applied Sciences for WomenMore Details,Delhi,Delhi,53.22,67,57.49,28.93,72.93,76.48,0.0,College
IR-C-C-41157,V.O. Chidambaram CollegeMore Details,Tuticorin,Tamil Nadu,53.08,68,72.51,20.29,60.81,56.27,2.02,College
IR-C-C-6357,Shyam Lal CollegeMore Details,Delhi,Delhi,52.7,69,61.22,9.9,82.69,57.55,2.99,College
IR-C-C-41106,Kongunadu Arts & Science CollegeMore Details,Coimbatore,Tamil Nadu,52.68,70,59.02,35.06,67.05,53.0,17.46,College
IR-C-C-6413,Sri Guru Gobind Singh College of CommerceMore Details,Delhi,Delhi,52.4,71,63.48,4.03,80.11,58.89,4.87,College
IR-C-C-20830,St. Joseph`s College of CommerceMore Details,Bengaluru,Karnataka,52.37,72,56.75,0.0,84.49,64.18,21.34,College
IR-C-C-25990,St. Francis College for WomenMore Details,Hyderabad,Telangana,52.28,73,61.71,3.08,82.1,51.62,14.65,College
IR-C-C-36529,Fatima CollegeMore Details,Madurai,Tamil Nadu,52.2,74,61.64,7.07,72.16,55.16,29.22,College
IR-C-C-11986,Loreto CollegeMore Details,Kolkata,West Bengal,52.17,75,60.45,0.23,76.1,51.88,37.55,College
IR-C-C-43711,Bishop Moore CollegeMore Details,Alappuzha,Kerala,52.04,76,60.83,24.1,74.98,51.53,2.02,College
IR-C-C-6381,Keshav MahavidyalyaMore Details,Delhi,Delhi,51.92,77,73.71,12.73,58.2,56.74,2.99,College
IR-C-C-41184,Women's Christian CollegeMore Details,Nagercoil,Tamil Nadu,51.75,78,67.64,11.4,67.72,53.07,7.53,College
IR-C-C-11831,St. Berchmans CollegeMore Details,Kottayam,Kerala,51.6,79,65.45,22.98,67.73,47.44,2.99,College
IR-C-C-11616,Bishop Kurialacherry College For WomenMore Details,Kottayam,Kerala,51.55,80,65.56,2.38,78.98,52.19,0.0,College
IR-C-C-28526,Alagappa Government Arts CollegeMore Details,Karaikudi,Tamil Nadu,51.55,80,57.93,38.28,62.03,37.68,33.59,College
IR-C-C-41096,CMS College of Science and CommerceMore Details,Coimbatore,Tamil Nadu,51.49,82,61.54,5.06,79.66,60.02,2.02,College
IR-C-C-43874,Government CollegeMore Details,Kasaragod,Kerala,51.39,83,60.83,9.04,79.83,57.38,0.0,College
IR-C-C-11615,Marthoma CollegeMore Details,Thiruvalla,Kerala,51.37,84,60.95,6.83,81.43,56.13,0.0,College
IR-C-C-41054,Dr. N. G. P. Arts and Science CollegeMore Details,Coimbatore,Tamil Nadu,51.33,85,56.25,11.31,78.39,53.29,21.96,College
IR-C-C-29284,Government Home Science CollegeMore Details,Chandigarh,Chandigarh,51.28,86,72.65,0.39,69.17,41.98,6.67,College
IR-C-C-41068,Vellalar College for WomenMore Details,Erode,Tamil Nadu,51.25,87,61.51,7.69,73.55,52.33,18.79,College
